schooltype,school_name,name,skucode,color,price,maxprice,uniform_desc
Junior,Abbey Lane,Cardigan (With Logo),3SC,JD,9,0,
Junior,Abbey Lane,Polo Shirt (With Logo),3PP,WHT,6.75,0,
Junior,Abbey Lane,Polo Shirt (With Logo),3PP,DJ,6.75,0,
Junior,Abbey Lane,Polo Shirt (With Logo),3PP,BK,6.75,0,
Junior,Abbey Lane,Waterproof Fleece (NON REVERSIBLE),3JM,BK,23,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Abbey Lane,Sweatshirt (With Logo),3SR,JD,8.5,0,
Junior,Abbey Lane,Fleece (With Logo),3JP,BK,16,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Abbey Lane,Bookbag,BB03,BK,4.5,0,
Junior,Acres Hill,Cardigan (With Logo),3SC,NB,9,0,
Junior,Acres Hill,Polo Shirt (With Logo),3PP,SB,6.75,0,
Junior,Acres Hill,Waterproof Fleece (NON REVERSIBLE),3JM,NB,23,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Acres Hill,Sweatshirt (With Logo),3SR,NB,8.5,0,
Junior,Acres Hill,Fleece (With Logo),3JP,NB,16,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Acres Hill,Bookbag,BB03,NB,4.5,0,
Junior,Angram Bank,Sweatshirt (With Logo),3SR,NB,8.5,0,
Junior,Angram Bank,Polo Shirt (With Logo),3PP,SB,6.75,0,
Junior,Angram Bank,Polo Shirt (With Logo),3PP,RD,6.75,0,
Junior,Angram Bank,Bookbag,BB03,NB,4.5,0,
Junior,Angram Bank,Waterproof Fleece (NON REVERSIBLE),3JM,NB,23,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Angram Bank,Fleece (With Logo),3JP,NB,16,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Angram Bank,Cardigan (With Logo),3SC,NB,9,0,
Junior,Anns Grove,Sweatshirt (With Logo),3SR,NB,8.5,0,
Junior,Anns Grove,Polo Shirt (With Logo),3PP,WHT,6.75,0,
Junior,Anns Grove,Waterproof Fleece (NON REVERSIBLE),3JM,NB,23,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Anns Grove,Cardigan (With Logo),3SC,NB,9,0,
Junior,Anns Grove,Fleece (With Logo),3JP,NB,16,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
Junior,Badsley Primary,PE T-Shirt (With Logo),3TC,WHT,4.5,0,
Junior,Anston Greenlands,Sweatshirt (With Logo),3SR,BT,8.5,0,
Junior,Anston Hillcrest,Sweatshirt (With Logo),3SR,RD,8.5,0,
Junior,Anston Hillcrest,Cardigan (With Logo),3SC,RD,9,0,
Junior,Anston Hillcrest,Polo Shirt (With Logo),3PP,WHT,6.75,0,
Junior,Anston Hillcrest,Polo Shirt (With Logo),3PP,RD,6.75,0,
Junior,Anston Hillcrest,Fleece (With Logo),3JP,RD,16,0,<b style=color:#ff0000;>Made to order only. This is a Non-Exchangeable & Non-Refundable product.</b>
